"Path","Status","PrototypeBytes","RetailBytes","PrototypeSHA256","RetailSHA256"
"DATA/ABOUTEA/CREDITS.FLM","Changed","31506432","57679872","86E530925898CC1AA066D6D0082A19AB4F71ED780D0C3A6A97385084AFD08287","91228B94596EB9D75FFF01A734EF527DB8EC4985D05F5F58273A50749C944927"
"DATA/ABOUTEA/PAYOFF.FLM","Changed","20275200","20840448","F79F11E8F5938C49612EC3C0D3C311790C84EC5708123E7BDE928958573CA7D5","46A76BA834467DF690CAC458ED38FC4A2DBD285A2DF99C75B4CD03E61B8E6502"
"DATA/FEND/FE.LSC","Changed","111636","91307","93B4CBAC192AC52AB9E96BE5AFED4F6DBCCCE2FBAF2A91E9040519AC0A835903","FC57E31DD6311B31C74E87FFD2755F3F6904B3ABFED45A69E7BED36530B35C9F"
"DATA/FEND/FE2.TRK","Changed","42590208","37330944","2E22AF49031BDF78E2D42E84DBC48F9867FB6F166D5BB2D3C49B49355C23FA6D","D1E86A952DE85C6305C5EC56447F8B7CCB5154C88882F2B63568708BC4F58A2D"
"DATA/FEND/HELP1.LSC","Changed","123068","122286","FE0833BA33C261B55806924F1B7E4E31AA3CE7714CD5121052F01ABB09CF36D9","3B024F87B930CF3E09FC464B833C5AB509F04B21DB84FB5382D0B87EF8319F16"
"DATA/FEND/HELP2.LSC","Changed","124507","123683","B1AC7D9981A5D99BA6CE689013C09826C77BC24C88083C6703AD511BE1F4D950","FA88C5FB8D9C097CC6104EDE551A718516285A2F0ED666228EFBA679143EDA2E"
"DATA/FEND/HELP3.LSC","Changed","124413","123466","71630B90F8EBD4000B88852233766A89927A9079A4C5C66BC7A9AD0947103B43","16559AB00612AB013FF419E429FA5EBB78A175AA912F31A781C9487F67A6FA58"
"DATA/FEND/HELPX1.LSC","Changed","143758","141429","4147D3DE6F7CB699F5AB4EF6E14F2C5C9CB75B74B99E87E491CB36CB6A183778","53FD23719E0488C6E1BE1BC4E7BE160DF5805ABFC1E3E6270DB512567FA334FB"
"DATA/FEND/HELPX2.LSC","Changed","141549","134016","D81BF5580F1B21C3CFC901BD69A89A401E35C68A17405B75757F94B51064FF2B","8774B34E824BDC29AB95BC85567B686EF7AEEC5551EF2176C5F14436D32EC26C"
"DATA/FEND/HELPX3.LSC","Changed","128339","123522","1CBBEF9E54B9B887CCE63E3CCB0E8B9D44363DD4F2167A449853DD887717441D","127D8876FA7FF9449F80A55CA064C1CEAC7C8BCAFEF6E20F2DA6C56BE137C30C"
"DATA/FEND/HELPX4.LSC","Changed","134332","134113","C01B42B2920533629AA5B69B183E5E6EC1F59C691AA0ACF2F27CC6CBBE318D8B","18430BBC0A72C97B4D14F61DA6CCCE0B368F1B3B19830CFF88A2E6B5E9F1CEAA"
"DATA/FEND/HELPX5.LSC","Changed","124153","128330","032CED7D00601F9C11054A9289097ED4AE687CF5A1839C6FDA880188FDC70914","4EA321F972840BD9A0063F4815D27BB5F4CF88BE6856B5D2B9253FAB74624E15"
"DATA/FEND/HELPX6A.LSC","Retail only","0","115677","","73DCE801AB3A119C09D246A635E2C96AB73A932C7D035A8715A5CBEE784BB2DE"
"DATA/FEND/HELPX6B.LSC","Retail only","0","115790","","42A47CFD156164DD9C035F3AC4BE04B234BC6B929006876B7D1CB6BD726B0F74"
"DATA/FEND/HELPX6C.LSC","Retail only","0","115848","","2463E3BBC558FCF1A04A86F313DF30622B6FB2B919684ECCE0BE235633E02F13"
"DATA/FEND/HELPX7.LSC","Retail only","0","117241","","EA01A94888166AB96FB5B9BAEAD3225AB01A40BCC6497FA499F7D2A00FC2BA3F"
"DATA/LOCBB/BB.AV","Changed","31260672","31309824","4C4C6FB6D4F8AC781217825673730154D4E4315A3291196CD697749E7F38ED28","AB6775FF3C3B8153B096E1DB8EF2E200A6F6FA5E2A63CA32E363023B6FA6C65D"
"DATA/LOCBB/BB1.LSC","Identical","103815","103815","62FD96D20B53A95C6D421BDA161C8C0B4F50F6B7FE270BB1646EDDD771DD85B5","62FD96D20B53A95C6D421BDA161C8C0B4F50F6B7FE270BB1646EDDD771DD85B5"
"DATA/LOCBB/BB1.TRK","Changed","7249920","3489792","524F301F184C0602E3F0E63D788CA8430F8417EE2FFD3B043FE1B464CC8928AD","B2434BECECC7BBD644A89CE8FD266371382959D77948D080713EB0090DA18049"
"DATA/LOCBB/BB2.LSC","Identical","101364","101364","CC0BB7640485BDA899799821AB7ABD6CE8F3077228DED6FE0A81D197A4EC4E85","CC0BB7640485BDA899799821AB7ABD6CE8F3077228DED6FE0A81D197A4EC4E85"
"DATA/LOCBB/BB2.TRK","Changed","3366912","3416064","D692D0E81EB1EFDBA5DB014404D7A697DECE1E157ABF700E669C2B86BF770D7E","E6A7F626FE5DB48E2A0F3E6D696012994E48ABF9EF703BB8339094E3E4E7CC8B"
"DATA/LOCBL/BL.AV","Changed","32563200","32464896","033607D8EF58259299DA6F7BB5BA41A22473D33D4644A99F8781B67289F6E0E3","8CBB41084A1063D64F98D7A0F187EA8776A79BBB325A22CBA9E2CBAFFB4FCC6A"
"DATA/LOCBL/BL1.LSC","Identical","100389","100389","CFFABF41B10445AAD539304773507112B6D68A805C4FA8DA6B4E5E02BECAD55E","CFFABF41B10445AAD539304773507112B6D68A805C4FA8DA6B4E5E02BECAD55E"
